time,state_0,state_1
3.520000000000866e+01,2.117916217182983e-02,5.288562771723966e-02
3.530000000000843e+01,2.630136199836993e-02,4.948432652980975e-02
3.540000000000820e+01,3.106195146906208e-02,4.566085609472932e-02
3.550000000000797e+01,3.542099721916010e-02,4.146139928176336e-02
3.560000000000773e+01,3.934332885488426e-02,3.693494389209438e-02
3.570000000000750e+01,4.279879256042912e-02,3.213274250927064e-02
3.580000000000727e+01,4.576245005714194e-02,2.710776064165352e-02
3.590000000000703e+01,4.821472202878445e-02,2.191411884741273e-02
3.600000000000680e+01,5.014147569370072e-02,1.660653447995379e-02
3.610000000000657e+01,5.153405676355624e-02,1.123976858378026e-02
3.620000000000633e+01,5.238926657371872e-02,5.868083310341270e-03
3.630000000000610e+01,5.270928569719088e-02,5.447150130223956e-04
3.640000000000587e+01,5.250154585743422e-02,-4.678632076824374e-03
3.650000000000563e+01,5.177855243092614e-02,-9.752266991576443e-03
3.660000000000540e+01,5.055766027371779e-02,-1.462896372575101e-02
3.670000000000517e+01,4.886080601385595e-02,-1.926437960575775e-02
3.680000000000494e+01,4.671420031997756e-02,-2.361743685225792e-02
3.690000000000470e+01,4.414798398280827e-02,-2.765066428939178e-02
3.700000000000447e+01,4.119585192830279e-02,-3.133049660968946e-02
3.710000000000424e+01,3.789464951684100e-02,-3.462752907466601e-02
3.720000000000400e+01,3.428394567082886e-02,-3.751672601392941e-02
3.730000000000377e+01,3.040558751233182e-02,-3.997758197509241e-02
3.740000000000354e+01,2.630324128257592e-02,-4.199423486790257e-02
3.750000000000330e+01,2.202192435636927e-02,-4.355553093390083e-02
3.760000000000307e+01,1.760753315728375e-02,-4.465504185281976e-02
3.770000000000284e+01,1.310637172482682e-02,-4.529103476425372e-02
3.780000000000260e+01,8.564685584302532e-03,-4.546639643349951e-02
3.790000000000237e+01,4.028205425514511e-03,-4.518851321975662e-02
3.800000000000214e+01,-4.582950897972620e-04,-4.446910890926331e-02
3.810000000000191e+01,-4.851423297200914e-03,-4.332404285192104e-02
3.820000000000167e+01,-9.109569442264286e-03,-4.177307118436699e-02
3.830000000000144e+01,-1.319328299755537e-02,-3.983957423251251e-02
3.840000000000121e+01,-1.706562016809602e-02,-3.755025345988665e-02
3.850000000000097e+01,-2.069245971810741e-02,-3.493480156273084e-02
3.860000000000074e+01,-2.404278462203822e-02,-3.202554950713128e-02
3.870000000000051e+01,-2.708892743039127e-02,-2.885709445642265e-02
3.880000000000027e+01,-2.980677764158270e-02,-2.546591264795778e-02
3.890000000000004e+01,-3.217594978075630e-02,-2.188996134684970e-02
3.899999999999981e+01,-3.417991130090184e-02,-1.816827403061579e-02
3.909999999999958e+01,-3.580606983659772e-02,-1.434055294336236e-02
3.919999999999934e+01,-3.704581975210063e-02,-1.044676310222018e-02
3.929999999999911e+01,-3.789454832933371e-02,-6.526731743531009e-03
3.939999999999888e+01,-3.835160233374374e-02,-2.619757063516056e-03
3.949999999999864e+01,-3.842021607334209e-02,1.235770060117104e-03
3.959999999999841e+01,-3.810740242508519e-02,5.002727880581676e-03
3.969999999999818e+01,-3.742380863990320e-02,8.645605875282614e-03
3.979999999999794e+01,-3.638353905024224e-02,1.213082412628769e-02
3.989999999999771e+01,-3.500394708934582e-02,1.542702727829778e-02
3.999999999999748e+01,-3.330539928737469e-02,1.850535066956124e-02
4.009999999999724e+01,-3.131101413390963e-02,2.133965655406749e-02
4.019999999999701e+01,-2.904637888779724e-02,2.390673867044389e-02
4.029999999999678e+01,-2.653924757244448e-02,2.618649376065269e-02
4.039999999999655e+01,-2.381922351667166e-02,2.816205899619167e-02
4.049999999999631e+01,-2.091742988758013e-02,2.981991462739803e-02
4.059999999999608e+01,-1.786617171243411e-02,3.114995152903452e-02
4.069999999999585e+01,-1.469859290150598e-02,3.214550366906917e-02
4.079999999999561e+01,-1.144833176374472e-02,3.280334587402119e-02
4.089999999999538e+01,-8.149178452894101e-03,3.312365760015309e-02
